#E操作（创建敌人）,敌人出现时间（帧）,x,y,angle,速度,敌人模式,生命量,图像编号,给敌人模式的参数（double)
#S操作（给上一个敌人增加射击）,射击时间（相对于敌人）,射击模式,给射击模式的参数,,,,,,
#C操作（炸掉所有敌人和敌人子弹）,清屏时间,,,,,,,,
#B操作（出现Boss）,Boss出现时间,Boss配置文件,,,,,,,
E,100,1100,300,0,10,0,5,0,0
S,10,0,,,,,,,
E,120,1100,300,0,10,0,5,0,0
S,10,1,,,,,,,
E,140,1100,300,0,10,0,5,0,0
S,10,1,,,,,,,
E,160,1100,300,0,10,0,5,0,0
S,10,1,,,,,,,
,,,,,,,,,
E,300,1100,300,0,10,0,5,0,0
S,10,1,,,,,,,
E,320,1100,300,0,10,0,5,0,0
S,10,1,,,,,,,
E,340,1100,300,0,10,0,5,0,0
S,10,1,,,,,,,
E,360,1100,300,0,10,0,5,0,0
S,10,1,,,,,,,
E,500,1100,300,0,10,0,5,0,0
S,10,1,,,,,,,
E,520,1100,300,0,10,0,5,0,0
S,10,1,,,,,,,
E,540,1100,300,0,10,0,5,0,0
S,10,1,,,,,,0,
E,560,1100,300,0,10,0,5,0,0
S,10,1,,,,,,,
E,700,1100,300,0,10,0,5,0,0
S,10,0,,,,,,,
E,720,1100,300,0,10,0,5,0,0
S,10,1,,,,,,,
E,740,1100,300,0,10,0,5,0,0
S,10,1,,,,,,,
E,760,1100,300,0,10,0,5,0,0
S,10,1,,,,,,,
,,,,,,,,,
E,800,1100,300,0,10,0,5,0,0
S,10,0,,,,,,,
E,820,1100,300,0,10,0,5,0,0
S,10,1,,,,,,,
E,840,1100,300,0,10,0,5,0,0
S,10,1,,,,,,,
E,860,1100,300,0,10,0,5,0,0
S,10,1,,,,,,,
,,,,,,,,,
E,900,1100,300,0,10,0,5,0,0
S,10,0,,,,,,,
E,920,1100,300,0,10,0,5,0,0
S,10,1,,,,,,,
E,940,1100,300,0,10,0,5,0,0
S,10,1,,,,,,,
E,960,1100,300,0,10,0,5,0,0
S,10,1,,,,,,,
,,,,,,,,,
E,1000,1100,300,0,10,0,5,0,0
S,10,0,,,,,,,
E,1020,1100,300,0,10,0,5,0,0
S,10,1,,,,,,,
E,1040,1100,300,0,10,0,5,0,0
S,10,1,,,,,,,
E,1060,1100,300,0,10,0,5,0,0
S,10,1,,,,,,,
,,,,,,,,,
C,1080,,,,,,,,
B,1081,HelloWorld,,,,,,,
